items__track,items__episode__episodeName,items__episode__showName,items__episode__episodeUri,name,lastModifiedDate,items__track__trackName,items__track__artistName,items__track__albumName,items__track__trackUri,items__episode,items__localTrack__uri,items__localTrack,items__addedDate,description,numberOfFollowers,genero,dia_da_semana
,,,,,,Ímpar,Melim,Amores E Flores,spotify:track:3vXKSy1vWDvl6DeKUxxpaG,,,,2022-08-26,,,Pop,4
,,,,,,Apartamento 19,Roberta Spitaletti,Apartamento 19,spotify:track:4l7wuBa55vBeYZfuqLQGeS,,,,2022-08-26,,,MPB,4
,,,,,,Se Perder: Som das Estradas - Sul,Lucas Mayer,Se Perder: Som das Estradas - Sul,spotify:track:2wPaBZBh6zcJsxPFyGV2gm,,,,2022-08-26,,,MPB,4
,,,,,,A Volta Que o Mundo Deu,Paulo Nazareth,A Volta Que o Mundo Deu,spotify:track:3SMrsBgG2wiOWQDm9OKX4O,,,,2022-08-26,,,MPB,4
,,,,,,Tolo,De Maria,De Maria,spotify:track:0GoJvmCZnwFJomZGzxQWyT,,,,2022-08-26,,,MPB,4
,,,,,,Slowmotion Cameraman,Leo Quintella,Slowmotion Cameraman,spotify:track:6nAJoXxWKSp7OsE10n3pOo,,,,2022-08-26,,,MPB,4
,,,,,,A Vida É Bem Melhor a Dois,Davi Shamá,Shamá,spotify:track:2W4nJOEK7Hpk5phS6iNGIh,,,,2022-08-26,,,,4
,,,,,,Lugar Comum,Tiago Nacarato,Lugar Comum,spotify:track:3u2HKohMV6GXsZ8EncTNBv,,,,2022-08-26,,,MPB,4
,,,,,,Sei o Que Sou,Duda In The Sky,Sei o Que Sou,spotify:track:308C4MSUPmE5iMTIzahguG,,,,2022-08-26,,,MPB,4
,,,,,,O amor do mundo inteiro,Chapéu de Palha,O amor do mundo inteiro,spotify:track:4kv4NLf1F5KXAbcT1bKnim,,,,2022-08-26,,,,4
,,,,,,Recomeço,Lucas Felix,Recomeço,spotify:track:7pyj2l80Wwz3LnAstQK1dE,,,,2022-08-26,,,MPB,4
,,,,,,Space & Time,Rafael Witt,Space & Time,spotify:track:0UF2tfwzIgYT1nw8EEoPkd,,,,2022-08-26,,,Eletronica,4
,,,,,,Para Brilhar Outra Vez - Acústico,Jay Horsth,Para Brilhar Outra Vez,spotify:track:2N35dDVeOlWbmA40Q1ZCIE,,,,2022-08-26,,,MPB,4
,,,,,,Ribanceira,Chico Chico,Ribanceira,spotify:track:4VBNM49iuUc3JlXNtBPNbn,,,,2022-08-26,,,MPB,4
,,,,,,Lilases,Liah Soares,Lilases,spotify:track:2X0JqbvlC5GnBka9EolWih,,,,2022-08-26,,,MPB,4
,,,,,,Venha Pra Ficar (Ao Vivo),Folk na Kombi,Venha Pra Ficar (Ao Vivo),spotify:track:2TJGBHGZWqKhpnvbYpjzWv,,,,2022-08-26,,,Folk,4
,,,,,,Cigana,Suricato,Suricateando,spotify:track:30LW6tUCnkLZXuJHNB3bLJ,,,,2022-08-26,,,MPB,4
,,,,,,Ilustração,Jaffar Bambirra,Ilustração,spotify:track:67gKjKI5PMBgUWTYmXa2Yf,,,,2022-08-26,,,MPB,4
,,,,,,Qualquer Lugar,Matheus de Bezerra,Qualquer Lugar,spotify:track:0chOJa6EheSEbjy3miQn2A,,,,2022-08-26,,,MPB,4
,,,,,,deixa que eu já vou,Simão,deixa que eu já vou,spotify:track:4td0kvJluzs9IeqnASVllo,,,,2022-08-26,,,,4
,,,,,,Vapor,Victor Mus,Vapor,spotify:track:0kteOf15gjOAWtyOwLFBL8,,,,2022-08-26,,,MPB,4
,,,,,,A Voz de um Amigo,Mu Carvalho,A Voz de um Amigo,spotify:track:3F5cEFAYSXyfiBZn7IeQuq,,,,2022-08-26,,,MPB,4
,,,,,,O Que Eu Aprendi Com Você,Raffa Mogi,O Que Eu Aprendi Com Você,spotify:track:6irQkG5zbNECLWOcxdf1b0,,,,2022-08-26,,,MPB,4
,,,,,,Pássaros a Voar,Ana Rafaela,Pássaros a Voar,spotify:track:4gqmeOswvOrXrDkKRslx1X,,,,2022-08-26,,,MPB,4
,,,,,,Afterglow,Ed Sheeran,Afterglow,spotify:track:0E4Y1XIbs8GrAT1YqVy6dq,,,,2022-08-26,,,Pop,4
,,,,,,3 da Manhã,Daparte,3 da Manhã,spotify:track:3NCpBBT9G5eIDQxTRMacBm,,,,2022-08-26,,,Indie,4
,,,,,,Pontos de Exclamação,Jovem Dionisio,Pontos de Exclamação,spotify:track:2mlsK27VNUj8y08BvtIbXu,,,,2022-08-26,,,Indie,4
,,,,,,VEJA BABY - Versão Alternativa,Lagum,VEJA BABY,spotify:track:3GCvBFyQNf5HE4UIni7euC,,,,2022-08-26,,,Pop Rock,4
,,,,,,Da Cor Do Girassol - Voz E Violão,Bryan Behr,Simples,spotify:track:7cr32pPRfoWbeti4qGHxA7,,,,2022-08-26,,,MPB,4
,,,,,,O Amor É a Notícia,Davi Shamá,Shamá,spotify:track:5jWKSdfp4oiIjXUR6iHGWn,,,,2022-08-26,,,,4
,,,,,,Só Os Loucos Sabem,Familia Lima,Só Os Loucos Sabem,spotify:track:2FuAnHAAHzXRWZPZrizjMn,,,,2022-08-26,,,Musica Instrumental,4
,,,,,,Relicário - Ao Vivo,Nando Reis,NANDO REIS E ANAVITÓRIA JUNTOS,spotify:track:6FMlQMenGtwhIiQpF4OV98,,,,2022-08-26,,,MPB,4
,,,,,,de todos os amores,Bryan Behr,Todas as coisas do coração,spotify:track:29W835WKPQTUvhe4e0H2OY,,,,2022-08-26,,,MPB,4
,,,,,,Acho Que Te Amo,Ana Gabriela,Ana,spotify:track:5LYf9mLb5sofPtm5jrSeQm,,,,2022-08-26,,,Pop,4
,,,,,,O Amor é o Segredo,Vitor Kley,A Bolha,spotify:track:7tOXo8dzQYKgWHWB9nxBVg,,,,2022-08-26,,,Pop,4
,,,,,,Te amar é massa demais,ANAVITÓRIA,COR,spotify:track:5PLtrIrBZytL4L11AyxOHR,,,,2022-08-26,,,,4
,,,,,,Me Namora,Gabriel Elias,4 Estações,spotify:track:0CZS3nJGpSyas7dVEs2lXK,,,,2022-08-26,,,Surf Music,4
,,,,,,Eu Te Amo,Bryan Behr,A Vida É Boa,spotify:track:5oXihYXwoWrwJJyPrQF2k1,,,,2022-08-26,,,MPB,4
,,,,,,Você Pra Sempre Em Mim,TIAGO IORC,Você Pra Sempre Em Mim,spotify:track:27Qv1EN4l1fNKpTweNdZ3O,,,,2022-08-26,,,MPB,4
,,,,,,as coisas tão mais lindas,ANAVITÓRIA,N,spotify:track:2qvSChyYgm8ybTncALA4pD,,,,2022-08-26,,,,4
,,,,,,Porque Eu Te Amo,ANAVITÓRIA,O Tempo É Agora,spotify:track:3idU6lZVKD6hvGjnpSHde8,,,,2022-08-26,,,,4
,,,,,,Pode Se Achegar,TIAGO IORC,Pode Se Achegar,spotify:track:5pmBfQ7bewBJR9dhVnqMHU,,,,2022-08-26,,,MPB,4
,,,,,,Dia Especial,TIAGO IORC,Dia Especial,spotify:track:1fRKUO6PvzxNbwjzp51TW5,,,,2022-08-26,,,MPB,4
,,,,✨🙏,2022-08-24,Trem-Bala,Ana Vilela,Trem-Bala,spotify:track:05QeyKGAn4TZrv41tMiD1A,,,,2022-08-16,,0.0,MPB,1
,,,,,,Trevo (Tu),ANAVITÓRIA,ANAVITÓRIA,spotify:track:2vRBYKWOyHtFMtiK60qRz7,,,,2022-08-16,,,,1
,,,,,,Era uma Vez,Kell Smith,Girassol,spotify:track:16v1xv9QCx1kGXl6fJvTIz,,,,2022-08-16,,,MPB,1
,,,,,,A Vida É Boa Com Você - Voz E Violão,Bryan Behr,Simples,spotify:track:7w36CnYumoRl1ryZOWsJnk,,,,2022-08-16,,,MPB,1
,,,,,,Simples e Romântico,Nicolas Germano,Simples e Romântico,spotify:track:7dAbpCdKHAPNONpwGTmGzC,,,,2022-08-16,,,MPB,1
,,,,,,Laços,TIAGO IORC,Reconstrução,spotify:track:67TkwLw4MU99lmHtUYo340,,,,2022-08-16,,,MPB,1
,,,,,,Home,Gabrielle Aplin,Home,spotify:track:3X01VeoR0GckfiXlFRrJmF,,,,2022-08-16,,,Indie Pop,1
,,,,,,Cabelo De Anjo,Melim,Eu Feat. Você,spotify:track:4QWsMXZ60waQmBBduGM2ci,,,,2022-08-16,,,Pop,1
,,,,,,Sign of the Times,Harry Styles,Harry Styles,spotify:track:5Ohxk2dO5COHF1krpoPigN,,,,2022-08-16,,,Pop,1
,,,,,,Partilhar,Rubel,Partilhar,spotify:track:1PQRwFvNM7xV65bIkHmDtx,,,,2022-08-16,,,MPB,1
,,,,,,não há voz que alcance,Bryan Behr,Todas as coisas do coração,spotify:track:1KFe4uS0OzHyMfSacZUgEI,,,,2022-08-16,,,MPB,1
,,,,,,Céu Azul,Ana Gabriela,Céu Azul,spotify:track:2GvbK34eLArbttr0bXRu4l,,,,2022-08-16,,,Pop,1
,,,,,,"Conta Comigo, Maria",Joel Mozart,"Conta Comigo, Maria",spotify:track:6jZ3P1jDmLO3VYpuhPIktR,,,,2022-08-16,,,MPB,1
,,,,,,Pra Te Iluminar,David Mour,Pra Te Iluminar,spotify:track:0cchF6GS8r28iyHrCdsEJa,,,,2022-08-16,,,MPB,1
,,,,,,Abraço,Nós em Um,Abraço,spotify:track:7y4puTp3k9X5jUxxlko0Pd,,,,2022-08-16,,,,1
,,,,,,Desacelera,Pagan John,Desacelera,spotify:track:2io0dvkZFKwHwdRHCIc9Uc,,,,2022-08-16,,,Indie,1
,,,,,,Lugar Ao Sol,Sandy,Lugar Ao Sol,spotify:track:3EY2I6zWuJjZai4G7Bcmzx,,,,2022-08-16,,,MPB,1
,,,,,,Saudade,Marcelo Archetti,Saudade,spotify:track:7FEbkkKqbYhzRwi4OeaQcH,,,,2022-08-16,,,MPB,1
