"items__track","items__episode__episodeName","items__episode__showName","items__episode__episodeUri","name","lastModifiedDate","items__track__trackName","items__track__artistName","items__track__albumName","items__track__trackUri","items__episode","items__localTrack__uri","items__localTrack","items__addedDate","description","numberOfFollowers"
"","","","","","","O Que Eu Aprendi Com Você","Raffa Mogi","O Que Eu Aprendi Com Você","spotify:track:6irQkG5zbNECLWOcxdf1b0","null","","null","2022-08-26","",""
"","","","","","","Pássaros a Voar","Ana Rafaela","Pássaros a Voar","spotify:track:4gqmeOswvOrXrDkKRslx1X","null","","null","2022-08-26","",""
"","","","","","","Afterglow","Ed Sheeran","Afterglow","spotify:track:0E4Y1XIbs8GrAT1YqVy6dq","null","","null","2022-08-26","",""
"","","","","","","3 da Manhã","Daparte","3 da Manhã","spotify:track:3NCpBBT9G5eIDQxTRMacBm","null","","null","2022-08-26","",""
"","","","","","","Pontos de Exclamação","Jovem Dionisio","Pontos de Exclamação","spotify:track:2mlsK27VNUj8y08BvtIbXu","null","","null","2022-08-26","",""
"","","","","","","VEJA BABY - Versão Alternativa","Lagum","VEJA BABY","spotify:track:3GCvBFyQNf5HE4UIni7euC","null","","null","2022-08-26","",""
"","","","","","","Da Cor Do Girassol - Voz E Violão","Bryan Behr","Simples","spotify:track:7cr32pPRfoWbeti4qGHxA7","null","","null","2022-08-26","",""
"","","","","","","O Amor É a Notícia","Davi Shamá","Shamá","spotify:track:5jWKSdfp4oiIjXUR6iHGWn","null","","null","2022-08-26","",""
"","","","","","","Só Os Loucos Sabem","Familia Lima","Só Os Loucos Sabem","spotify:track:2FuAnHAAHzXRWZPZrizjMn","null","","null","2022-08-26","",""
"","","","","","","Relicário - Ao Vivo","Nando Reis","NANDO REIS E ANAVITÓRIA JUNTOS","spotify:track:6FMlQMenGtwhIiQpF4OV98","null","","null","2022-08-26","",""
"","","","","","","de todos os amores","Bryan Behr","Todas as coisas do coração","spotify:track:29W835WKPQTUvhe4e0H2OY","null","","null","2022-08-26","",""
"","","","","","","Acho Que Te Amo","Ana Gabriela","Ana","spotify:track:5LYf9mLb5sofPtm5jrSeQm","null","","null","2022-08-26","",""
"","","","","","","O Amor é o Segredo","Vitor Kley","A Bolha","spotify:track:7tOXo8dzQYKgWHWB9nxBVg","null","","null","2022-08-26","",""
"","","","","","","Te amar é massa demais","ANAVITÓRIA","COR","spotify:track:5PLtrIrBZytL4L11AyxOHR","null","","null","2022-08-26","",""
"","","","","","","Me Namora","Gabriel Elias","4 Estações","spotify:track:0CZS3nJGpSyas7dVEs2lXK","null","","null","2022-08-26","",""
"","","","","","","Eu Te Amo","Bryan Behr","A Vida É Boa","spotify:track:5oXihYXwoWrwJJyPrQF2k1","null","","null","2022-08-26","",""
"","","","","","","Você Pra Sempre Em Mim","TIAGO IORC","Você Pra Sempre Em Mim","spotify:track:27Qv1EN4l1fNKpTweNdZ3O","null","","null","2022-08-26","",""
"","","","","","","as coisas tão mais lindas","ANAVITÓRIA","N","spotify:track:2qvSChyYgm8ybTncALA4pD","null","","null","2022-08-26","",""
"","","","","","","Porque Eu Te Amo","ANAVITÓRIA","O Tempo É Agora","spotify:track:3idU6lZVKD6hvGjnpSHde8","null","","null","2022-08-26","",""
"","","","","","","Pode Se Achegar","TIAGO IORC","Pode Se Achegar","spotify:track:5pmBfQ7bewBJR9dhVnqMHU","null","","null","2022-08-26","",""
"","","","","","","Dia Especial","TIAGO IORC","Dia Especial","spotify:track:1fRKUO6PvzxNbwjzp51TW5","null","","null","2022-08-26","",""
"","","","","✨🙏","2022-08-24","Trem-Bala","Ana Vilela","Trem-Bala","spotify:track:05QeyKGAn4TZrv41tMiD1A","null","","null","2022-08-16","null","0"
"","","","","","","Trevo (Tu)","ANAVITÓRIA","ANAVITÓRIA","spotify:track:2vRBYKWOyHtFMtiK60qRz7","null","","null","2022-08-16","",""
"","","","","","","Era uma Vez","Kell Smith","Girassol","spotify:track:16v1xv9QCx1kGXl6fJvTIz","null","","null","2022-08-16","",""
"","","","","","","A Vida É Boa Com Você - Voz E Violão","Bryan Behr","Simples","spotify:track:7w36CnYumoRl1ryZOWsJnk","null","","null","2022-08-16","",""
"","","","","","","Simples e Romântico","Nicolas Germano","Simples e Romântico","spotify:track:7dAbpCdKHAPNONpwGTmGzC","null","","null","2022-08-16","",""
"","","","","","","Laços","TIAGO IORC","Reconstrução","spotify:track:67TkwLw4MU99lmHtUYo340","null","","null","2022-08-16","",""
"","","","","","","Home","Gabrielle Aplin","Home","spotify:track:3X01VeoR0GckfiXlFRrJmF","null","","null","2022-08-16","",""
"","","","","","","Cabelo De Anjo","Melim","Eu Feat. Você","spotify:track:4QWsMXZ60waQmBBduGM2ci","null","","null","2022-08-16","",""
"","","","","","","Sign of the Times","Harry Styles","Harry Styles","spotify:track:5Ohxk2dO5COHF1krpoPigN","null","","null","2022-08-16","",""
"","","","","","","Partilhar","Rubel","Partilhar","spotify:track:1PQRwFvNM7xV65bIkHmDtx","null","","null","2022-08-16","",""
"","","","","","","não há voz que alcance","Bryan Behr","Todas as coisas do coração","spotify:track:1KFe4uS0OzHyMfSacZUgEI","null","","null","2022-08-16","",""
"","","","","","","Céu Azul","Ana Gabriela","Céu Azul","spotify:track:2GvbK34eLArbttr0bXRu4l","null","","null","2022-08-16","",""
"","","","","","","Conta Comigo, Maria","Joel Mozart","Conta Comigo, Maria","spotify:track:6jZ3P1jDmLO3VYpuhPIktR","null","","null","2022-08-16","",""
"","","","","","","Pra Te Iluminar","David Mour","Pra Te Iluminar","spotify:track:0cchF6GS8r28iyHrCdsEJa","null","","null","2022-08-16","",""
"","","","","","","Abraço","Nós em Um","Abraço","spotify:track:7y4puTp3k9X5jUxxlko0Pd","null","","null","2022-08-16","",""
"","","","","","","Desacelera","Pagan John","Desacelera","spotify:track:2io0dvkZFKwHwdRHCIc9Uc","null","","null","2022-08-16","",""
"","","","","","","Lugar Ao Sol","Sandy","Lugar Ao Sol","spotify:track:3EY2I6zWuJjZai4G7Bcmzx","null","","null","2022-08-16","",""
"","","","","","","Saudade","Marcelo Archetti","Saudade","spotify:track:7FEbkkKqbYhzRwi4OeaQcH","null","","null","2022-08-16","",""
"","","","","","","A Encomenda da Minha Vida","MAR ABERTO","A Encomenda da Minha Vida","spotify:track:4hYcZfeUkOw4GoV5APKMdV","null","","null","2022-08-16","",""
"","","","","","","Ai que Saudade D'Ocê - Sessions","Mariana Nolasco","Mariana Nolasco Sessions 2","spotify:track:3jLkEBt841U8Nbca03XD0q","null","","null","2022-08-16","",""
"","","","","","","nada vale o preço","Bryan Behr","nada vale o preço","spotify:track:7DUbJL6jtQBCoCPm0hyQQk","null","","null","2022-08-16","",""
"","","","","","","Era uma Vez","Duas Casas","Duas Casas","spotify:track:16GaPObSFlhVFjDwyDAWww","null","","null","2022-08-16","",""
